Cluster ID,Number of Nodes,Gene Nodes,Microbe Nodes,Gene Node List,Microbe Node List,Silhouette Score,Cluster Diameter,min_samples,epsilon,dimensions,walk_length,n_walks,p,q
0,425,145,280,"['Cytokine-cytokine receptor interaction', 'Viral protein interaction with cytokine and cytokine receptor', 'Chemokine signaling pathway', 'IL-17 signaling pathway', 'Metabolic pathways', 'Intestinal immune network for IgA production', 'Neuroactive ligand-receptor interaction', 'interferon beta', 'Cell adhesion molecules', 'C-X-C motif chemokine 5/6', 'cyclin-dependent kinase inhibitor 2A', 'interleukin 12A', 'integrin beta 2', 'monocyte differentiation antigen CD14', 'MHC class II antigen', 'interferon receptor 2', 'tumor necrosis factor ligand superfamily member 5', 'interleukin 4', 'transferrin receptor', 'Staphylococcus aureus infection', 'interleukin 23 subunit alpha', 'adiponectin', 'claudin', 'C-C motif chemokine 21', 'defensin, alpha', 'Thy-1 cell surface antigen', 'C-C chemokine receptor type 10', 'aminopeptidase N [EC:3.4.11.2]', 'glucagon', 'interleukin 15', 'interleukin 2 receptor alpha', 'interleukin 17B', 'interleukin 7 receptor', 'erythropoietin receptor', ""purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]"", 'granulocyte colony-stimulating factor', 'C-C motif chemokine 26', 'Asthma', 'Glycosphingolipid biosynthesis - lacto and neolacto series', 'small subunit ribosomal protein S18e', 'C-C motif chemokine 11', 'CX3C chemokine receptor 1', 'interleukin 20 receptor beta', 'myeloperoxidase [EC:1.11.2.2]', 'C-C motif chemokine 14', 'toll-like receptor 6', 'ubiquitin carboxyl-terminal hydrolase CYLD [EC:3.4.19.12]', 'phenylpyruvate tautomerase [EC:5.3.2.1]', 'interferon omega', 'C-X-C motif chemokine 11', 'C-C motif chemokine 28', 'autophagy-related protein 16-1', 'acyl-CoA 6-desaturase (Delta-6 desaturase) [EC:1.14.19.3]', 'C-C motif chemokine 20', 'caspase recruitment domain-containing protein 9', 'C-C chemokine receptor type 3', 'interleukin 21', 'bone morphogenetic protein receptor type-1A [EC:2.7.11.30]', 'C-C motif chemokine 16', 'C-X-C chemokine receptor type 3', 'interleukin 17F', 'interleukin 26', 'interleukin 12 receptor beta-1', 'ATP-binding cassette, subfamily A (ABC1), member 1', 'interferon epsilon', 'growth hormone receptor', 'activin receptor type-2B [EC:2.7.11.30]', 'C-X-C motif chemokine 14', 'tumor necrosis factor receptor superfamily member 19', 'C-C chemokine receptor type 6', 'C-X-C chemokine receptor type 6', 'MHC class II transactivator [EC:2.7.11.1]', 'C-X3-C motif chemokine 1', 'tumor necrosis factor receptor superfamily member 13C', 'nucleotide-binding oligomerization domain-containing protein 1', 'ABC transporters', 'C-C chemokine receptor type 7', 'activin receptor type-1 [EC:2.7.11.30]', 'beta-defensin 1', 'interleukin 17C', 'cardiotrophin 1', 'solute carrier family 4 (sodium bicarbonate cotransporter), member 4', 'Protein digestion and absorption', 'interleukin 20 receptor alpha', 'potassium intermediate/small conductance calcium-activated channel subfamily N member 4', 'Glycosphingolipid biosynthesis - globo and isoglobo series', 'Salivary secretion', 'C-X-C motif chemokine 9', 'Lysosome', 'C-C chemokine receptor type 4', 'C-C motif chemokine 18', 'nucleotide-binding oligomerization domain-containing protein 2', 'Proximal tubule bicarbonate reclamation', 'tumor necrosis factor receptor superfamily member 27', 'interleukin 22', 'interleukin 15 receptor alpha', 'ghrelin', 'anti-mullerian hormone receptor type-2 [EC:2.7.11.30]', 'inhibin beta C chain', 'semenogelase [EC:3.4.21.77]', 'ectodysplasin-A', 'ciliary neurotrophic factor receptor', 'C-X-C chemokine receptor type 5', 'sphingosine 1-phosphate receptor 5', 'C-X-C chemokine receptor type 7 (atypical chemokine receptor 3)', 'C-X-C motif chemokine 13', 'Nucleotide metabolism', 'toll-like receptor 8', 'ankyrin-3', 'MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5', 'Tyrosine metabolism', 'toll-like receptor 1', 'Renin-angiotensin system', 'tumor necrosis factor receptor superfamily member 17', 'tumor necrosis factor receptor superfamily member EDAR', 'inhibin beta A chain', 'leucine-rich repeat-containing G protein-coupled receptor 5', 'Phenylalanine metabolism', 'tachykinin 1', 'interleukin 36 alpha', 'interleukin 13 receptor alpha-2', 'C-X-C motif chemokine 16', 'Folate biosynthesis', 'Base excision repair', 'interferon regulatory factor 8', 'inhibin beta B chain', 'secreted frizzled-related protein 3', 'interleukin 37', 'discs large protein 5', 'alpha-Linolenic acid metabolism', 'tumor necrosis factor receptor superfamily member 25', 'NACHT, LRR and PYD domains-containing protein 12', 'neuropeptide W', 'tumor necrosis factor ligand superfamily member 7', 'tumor necrosis factor receptor superfamily member 6B', 'interleukin 22 receptor alpha 2', 'free fatty acid receptor 2', 'CD68 antigen', 'interferon regulatory factor 5', 'Biosynthesis of unsaturated fatty acids', 'NACHT, LRR and PYD domains-containing protein 6', 'tumor necrosis factor receptor superfamily member 18', 'ATF-like basic leucine zipper transcriptional factor', 'interleukin 1 receptor-like 1', 'Cholesterol metabolism']","['Bacillota', 'Clostridia', 'Eubacteriales', 'Oscillospiraceae', 'Lachnospiraceae', 'Bacteroidota', 'Bacteroidales', 'Bacteroidia', 'Actinomycetota', 'Bacilli', 'Coriobacteriia', 'Erysipelotrichales', 'Erysipelotrichia', 'Eggerthellaceae', 'Eggerthellales', 'Erysipelotrichaceae', 'Negativicutes', 'Bacteroidaceae', 'Blautia', 'Caryophanales', 'Coriobacteriales', 'Guopingia', 'Peptoniphilaceae', 'Muribaculaceae', 'Veillonellales', 'Bacteroides', 'Veillonellaceae', 'Alistipes', 'Sellimonas', 'Coriobacteriaceae', 'Rikenellaceae', 'Cyanobacteriota', 'Mediterraneibacter', 'Phocaeicola', 'Atopobiaceae', 'Streptococcaceae', 'Actinomycetales', 'Actinomycetaceae', 'Bacillaceae', 'Selenomonadales', 'Chloroplast', 'Streptococcus', 'Anaerotignum', 'Eubacteriaceae', 'Adlercreutzia', 'Odoribacteraceae', 'Kineothrix', 'Clostridiaceae 1', 'Sporobacter', 'Intestinimonas', 'Collinsella', 'Bryobacterales', 'Caryophanaceae', 'Terriglobia', 'Massiliimalia', 'Laedolimicola', 'Bryobacteraceae', 'Mollicutes', 'Synergistaceae', 'Akkermansia', 'Acidaminococcales', 'Acidobacteriota', 'Selenomonadaceae', 'Acidaminococcaceae', 'Akkermansiaceae', 'Lachnospira', 'Fusobacteriaceae', 'Verrucomicrobiia', 'Verrucomicrobiota', 'Mycoplasmatota', 'Oscillibacter', 'Isachenkonia', 'Synergistota', 'Clostridiaceae 2', 'Synergistales', 'Enterocloster', 'Cyanophyceae', 'Anaerostipes', 'Bryobacter', 'Clostridium sensu stricto', 'Peptococcus', 'Muricoprocola', 'Paludihabitans', 'Lentihominibacter', 'Synergistia', 'Bacillota_incertae_sedis', 'Muribaculum', 'Duncaniella', 'Ethanoligenens', 'Rubneribacter', 'Peptoniphilus', 'Oculatellales', 'Criibacterium', 'Raoultibacter', 'Catenibacillus', 'Gallintestinimicrobium', 'Fusobacterium', 'Eubacteriales_incertae_sedis_XII', 'Longicatena', 'Neglecta', 'Zea', 'Gordonibacter', 'Oculatellaceae', 'Dysosmobacter', 'Guggenheimella', 'Fournierella', 'Chitinophagaceae', 'Dialister', 'Sporosarcina', 'Tildeniella', 'Lentisphaeria', 'Campylobacter', 'Porphyromonas', 'Merdimonas', 'Oligosphaera', 'Novisyntrophococcus', 'Defluviitaleaceae', 'Butyricimonas', 'Victivallales', 'Oligosphaeraceae', 'Waltera', 'Anaerobutyricum', 'Defluviitalea', 'Acholeplasmatales', 'Aerococcaceae', 'Anaerofilum', 'Actinomyces', 'Zhaonella', 'Campylobacterota', 'Mariniplasma', 'Phascolarctobacterium', 'Thermoanaerobacterales', 'Campylobacteraceae', 'Lactivibrio', 'Oligosphaerales', 'Alcaligenaceae', 'Euglenida', 'Faecalicatena', 'Megasphaera', 'Caproiciproducens', 'Barnesiella', 'Anaeroplasmataceae', 'Victivallaceae', 'Agathobaculum', 'Paraprevotella', 'Gallibacter', 'Campylobacteria', 'Capillibacterium', 'Asteroleplasma', 'Oribacterium', 'Acetatifactor', 'Victivallis', 'Hungatella', 'Copranaerobaculum', 'Tractidigestivibacter', 'Anaeroplasmatales', 'Negativibacillus', 'Heliobacteriaceae', 'Faecalibacillus', 'Holdemanella', 'Lactococcus', 'Anaeromassilibacillus', 'Brotonthovivens', 'Petrocella', 'Heliobacterium', 'Stomatobaculum', 'Desertifilaceae', 'Butyrivibrio', 'Marinilabiliaceae', 'Slackia', 'Ellagibacter', 'Moraxellaceae', 'Listeriaceae', 'Paenibacillus', 'Xiamenia', 'Faecalicoccus', 'Desertifilales', 'Anaerophaga', 'Hespellia', 'Streptophyta', 'Brochothrix', 'Massilimicrobiota', 'Parasutterella', 'Paenibacillaceae', 'Anaerococcus', 'Lactonifactor', 'Roseofilum', 'Leuconostoc', 'Oceanobacillus', 'Vallitaleaceae', 'Eubacterium', 'Thermophilibacter', 'Companilactobacillus', 'Pyramidobacter', 'Succiniclasticum', 'Fusicatenibacter', 'Ligaoa', 'Abiotrophia', 'Anaerovorax', 'Rummeliibacillus', 'Lysinibacillus', 'Paraeggerthella', 'Acinetobacter', 'Anaerobacterium', 'Pelospora', 'Arabiibacter', 'Holdemania', 'Lacrimispora', 'Lachnoanaerobaculum', 'Desulfurispora', 'Pigmentiphaga', 'Huintestinicola', 'Breznakia', 'Clostridiaceae 3', 'Drancourtella', 'Christensenella', 'Bulleidia', 'Romboutsia', 'Psychrobacillus', 'Niallia', 'Ornithinibacillus', 'Howardella', 'Desulfohalotomaculum', 'Mogibacterium', 'Parasporobacterium', 'Oxalobacter', 'Turicibacteraceae', 'Faecalibaculum', 'Murimonas', 'Amedibacillus', 'Curtanaerobium', 'Kocuria', 'Faecalitalea', 'Hoylesella', 'Facklamia', 'Allisonella', 'Pseudoleptotrichia', 'Pseudobutyrivibrio', 'Caldisalinibacter', 'Actinobaculum', 'Oxalobacteraceae', 'Dellaglioa', 'Acidaminococcus', 'Eggerthella', 'Acetobacteroides', 'Selenomonas', 'Mannheimia', 'Sphingobacteriaceae', 'Fannyhessea', 'Peptidiphaga', 'Pectinatus', 'Hoministercoradaptatus', 'Turicibacter', 'Haloimpatiens', 'Anaerosomataceae', 'Anaerosoma', 'Salmonella', 'Jutongia', 'Zhenhengia', 'Filifactor', 'Albibacterium', 'Stecheria', 'Weizmannia', 'Flavonifractor', 'Varibaculum', 'Finegoldia', 'Peptacetobacter', 'Megamonas', 'Berryella', 'Actinotignum', 'Bacillales_Incertae Sedis XI', 'Terrisporobacter', 'Anaerofustis', 'Intestinibacter', 'Anaerosomatales', 'Gleimia', 'Williamwhitmaniaceae', 'Thermanaerosceptrum', 'Gemella', 'Negativicoccus']",-0.48494488,2.5705016,2,0.1,20,4,100,10,10
1,9,8,1,"['JAK-STAT signaling pathway', 'NOD-like receptor signaling pathway', 'tumor necrosis factor receptor superfamily member 5', 'ciliary neurotrophic factor', 'tumor necrosis factor receptor superfamily member 14', 'runt-related transcription factor 3', 'Virion - Herpesvirus', 'lipocalin 2']",['Porphyromonadaceae'],0.25223437,0.26899758,2,0.1,20,4,100,10,10
2,5,5,0,"['Pathways in cancer', 'PI3K-Akt signaling pathway', 'Transcriptional misregulation in cancer', 'Proteoglycans in cancer', 'Non-small cell lung cancer']",[],0.5830302,0.15853788,2,0.1,20,4,100,10,10
3,3,3,0,"['Hematopoietic cell lineage', 'toll-like receptor 4', 'Viral life cycle - HIV-1']",[],0.48854008,0.13008925,2,0.1,20,4,100,10,10
4,7,7,0,"['actin beta/gamma 1', 'tyrosine-protein kinase Src [EC:2.7.10.2]', 'KIT ligand', 'interleukin 10 receptor beta', 'interleukin-1 receptor-associated kinase 3 [EC:2.7.11.1]', 'Gastric acid secretion', 'Mineral absorption']",[],0.55302423,0.18995702,2,0.1,20,4,100,10,10
5,3,3,0,"['Th17 cell differentiation', 'Necroptosis', 'Proteasome']",[],0.58744985,0.13019598,2,0.1,20,4,100,10,10
6,12,12,0,"['Tuberculosis', 'Inflammatory bowel disease', 'TNF signaling pathway', 'Lipid and atherosclerosis', 'Influenza A', 'apoptotic protease-activating factor', 'Legionellosis', 'Type I diabetes mellitus', 'Epithelial cell signaling in Helicobacter pylori infection', 'Cytosolic DNA-sensing pathway', 'lymphocyte cell-specific protein tyrosine kinase [EC:2.7.10.2]', 'Peroxisome']",[],0.3233143,0.3753091,2,0.1,20,4,100,10,10
7,7,7,0,"['NF-kappa B signaling pathway', 'Toll-like receptor signaling pathway', 'Rheumatoid arthritis', 'CD86 antigen', 'Autoimmune thyroid disease', 'hepatocyte growth factor', 'Allograft rejection']",[],0.48898166,0.21938655,2,0.1,20,4,100,10,10
8,5,3,2,"['Hormone signaling', 'toll-like receptor 5', 'Maturity onset diabetes of the young']","['Bifidobacteriales', 'Glutamicibacter']",0.43764192,0.1636015,2,0.1,20,4,100,10,10
9,34,34,0,"['nuclear factor NF-kappa-B p105 subunit', 'Human T-cell leukemia virus 1 infection', 'MAPK signaling pathway', 'Shigellosis', 'caspase 3 [EC:3.4.22.56]', 'Toxoplasmosis', 'Hepatitis B', 'Pathogenic Escherichia coli infection', 'tumor necrosis factor ligand superfamily member 6', 'Human papillomavirus infection', 'Hepatitis C', 'Apoptosis', 'T cell receptor signaling pathway', 'Regulation of actin cytoskeleton', 'Focal adhesion', 'Non-alcoholic fatty liver disease', 'interferon gamma receptor 2', 'Neurotrophin signaling pathway', 'Cellular senescence', 'Pancreatic cancer', 'p53 signaling pathway', 'Platinum drug resistance', 'Adipocytokine signaling pathway', 'Central carbon metabolism in cancer', 'Relaxin signaling pathway', 'Apoptosis - multiple species', 'Prolactin signaling pathway', 'Bladder cancer', 'Thyroid hormone signaling pathway', 'Fc epsilon RI signaling pathway', 'Huntington disease', 'Inflammatory mediator regulation of TRP channels', 'Dopaminergic synapse', 'Carbohydrate digestion and absorption']",[],-0.11304287,0.86307615,2,0.1,20,4,100,10,10
