Cluster ID,Number of Nodes,Gene Nodes,Microbe Nodes,Gene Node List,Microbe Node List,Silhouette Score,Cluster Diameter,min_samples,epsilon,dimensions,walk_length,n_walks,p,q
0,2,2,0,"['Cytokine-cytokine receptor interaction', 'Autoimmune thyroid disease']",[],0.8716214,0.039698794,2,0.05,60,50,100,0.1,10
1,2,2,0,"['RAC serine/threonine-protein kinase [EC:2.7.11.1]', 'AMPK signaling pathway']",[],0.9238008,0.01524058,2,0.05,60,50,100,0.1,10
2,2,2,0,"['interleukin 1 beta', 'CD44 antigen']",[],0.9458354,0.005781476,2,0.05,60,50,100,0.1,10
3,2,2,0,"['transcription factor AP-1', 'Mitophagy - animal']",[],0.8579236,0.03108047,2,0.05,60,50,100,0.1,10
4,2,1,1,['C-X-C motif chemokine 1/2/3'],['Dorea'],0.7480015,0.045343988,2,0.05,60,50,100,0.1,10
5,3,3,0,"['interleukin 8', 'interleukin 10 receptor alpha', 'interleukin 17 receptor A']",[],0.61130977,0.05001586,2,0.05,60,50,100,0.1,10
6,2,2,0,"['cyclin-dependent kinase inhibitor 1A', 'apoptotic protease-activating factor']",[],0.7872801,0.03210952,2,0.05,60,50,100,0.1,10
7,2,2,0,"['actin beta/gamma 1', 'molybdenum cofactor sulfurtransferase [EC:2.8.1.9]']",[],0.76697636,0.030306108,2,0.05,60,50,100,0.1,10
8,2,1,1,['interleukin 12A'],['Fusobacteriales'],0.5437317,0.03838453,2,0.05,60,50,100,0.1,10
9,2,2,0,"['tumor necrosis factor receptor superfamily member 1A', 'TGF-beta signaling pathway']",[],0.92856586,0.026526723,2,0.05,60,50,100,0.1,10
10,3,1,2,['interleukin 1 alpha'],"['Anaerotignum', 'Faecalicatena']",0.4865265,0.08037423,2,0.05,60,50,100,0.1,10
11,2,2,0,"['proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]', 'TGF-beta receptor type-2 [EC:2.7.11.30]']",[],0.86437494,0.009386843,2,0.05,60,50,100,0.1,10
12,2,1,1,['Janus kinase 2 [EC:2.7.10.2]'],['Amedibacterium'],0.26728284,0.04859675,2,0.05,60,50,100,0.1,10
13,2,2,0,"['Myc proto-oncogene protein', 'interleukin 17 receptor E']",[],0.8978307,0.041833963,2,0.05,60,50,100,0.1,10
14,5,4,1,"['transforming growth factor beta-3', 'tumor necrosis factor receptor superfamily member 5', 'forkhead box P3', 'lipocalin 2']",['Staphylococcus'],0.61669934,0.083263814,2,0.05,60,50,100,0.1,10
15,2,2,0,"['cyclin-dependent kinase inhibitor 2A', 'bone morphogenetic protein receptor type-1A [EC:2.7.11.30]']",[],0.5348166,0.04654848,2,0.05,60,50,100,0.1,10
16,2,1,1,['intercellular adhesion molecule 1'],['Faecalicoccus'],0.6194863,0.03419495,2,0.05,60,50,100,0.1,10
