Cluster ID,Number of Nodes,Gene Nodes,Microbe Nodes,Gene Node List,Microbe Node List,Silhouette Score,Cluster Diameter,min_samples,epsilon,dimensions,walk_length,n_walks,p,q
0,4,2,2,"['Cytokine-cytokine receptor interaction', 'Intestinal immune network for IgA production']","['Rubneribacter', 'Dellaglioa']",0.3642488,0.051086262,2,0.03,60,50,100,10,1.0
1,34,15,19,"['Viral protein interaction with cytokine and cytokine receptor', 'glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]', 'C-C motif chemokine 15/23', 'beta-2-microglobulin', 'Drug metabolism - other enzymes', 'ABC transporters', 'Nucleotide metabolism', 'tumor necrosis factor receptor superfamily member 10D', 'interleukin 17B', 'Glycosaminoglycan degradation', 'Ascorbate and aldarate metabolism', 'Carbon metabolism', 'dual oxidase [EC:1.6.3.1 1.11.1.-]', 'Biosynthesis of amino acids', 'bestrophin-2']","['Eggerthellaceae', 'Eggerthellales', 'Acidaminococcaceae', 'Acidaminococcales', 'Ichthyobacteriaceae', 'Sporosarcina', 'Slackia', 'Stomatobaculum', 'Massiliprevotella', 'Companilactobacillus', 'Howardella', 'Oligosphaerales', 'Fannyhessea', 'Finegoldia', 'Levilactobacillus', 'Facklamia', 'Actinotignum', 'Terrisporobacter', 'Lawsonella']",-0.4554746,0.28971192,2,0.03,60,50,100,10,1.0
2,5,3,2,"['JAK-STAT signaling pathway', 'interleukin 17 receptor C', 'Peroxisome']","['Streptococcaceae', 'Megasphaera']",0.5521245,0.03991641,2,0.03,60,50,100,10,1.0
3,3,3,0,"['Pathways in cancer', 'PI3K-Akt signaling pathway', 'Virion - Hepatitis viruses']",[],0.6736171,0.033255395,2,0.03,60,50,100,10,1.0
4,10,7,3,"['Chemokine signaling pathway', 'Rheumatoid arthritis', 'IL-17 signaling pathway', 'NF-kappa B signaling pathway', 'transferrin receptor', 'C-X-C motif chemokine 11', 'Virion - Lassa virus and SFTS virus']","['Raoultibacter', 'Oligosphaeria', 'Rummeliibacillus']",0.3288257,0.10171246,2,0.03,60,50,100,10,1.0
5,2,2,0,"['RAC serine/threonine-protein kinase [EC:2.7.11.1]', 'Longevity regulating pathway']",[],0.90389144,0.014724707,2,0.03,60,50,100,10,1.0
6,2,2,0,"['Lipid and atherosclerosis', 'interleukin 18']",[],0.85404027,0.0065720947,2,0.03,60,50,100,10,1.0
7,19,9,10,"['Hematopoietic cell lineage', 'integrin alpha M', 'Neuroactive ligand-receptor interaction', 'kinase insert domain protein receptor [EC:2.7.10.1]', 'lymphocyte cell-specific protein tyrosine kinase [EC:2.7.10.2]', 'erythropoietin receptor', 'defensin, alpha', 'caspase recruitment domain-containing protein 9', 'ankyrin-3']","['Mediterraneibacter', 'Atopobiaceae', 'Bryobacteraceae', 'Acidobacteriota', 'Bryobacter', 'Terriglobia', 'Lachnoanaerobaculum', 'Eubacterium', 'Varibaculum', 'Curtanaerobium']",-0.05846961,0.16199371,2,0.03,60,50,100,10,1.0
8,8,4,4,"['Inflammatory bowel disease', 'Autoimmune thyroid disease', 'tumor necrosis factor receptor superfamily member 19', 'lipocalin 2']","['Actinomycetota', 'Streptococcus', 'Gordonibacter', 'Pectinatus']",0.38687187,0.064438544,2,0.03,60,50,100,10,1.0
9,5,3,2,"['TNF signaling pathway', 'interferon gamma', 'interleukin 6 receptor']","['Staphylococcaceae', 'Lancefieldella']",0.5945953,0.04146615,2,0.03,60,50,100,10,1.0
10,2,2,0,"['Herpes simplex virus 1 infection', 'Fluid shear stress and atherosclerosis']",[],0.39841896,0.022546468,2,0.03,60,50,100,10,1.0
11,4,3,1,"['Toll-like receptor signaling pathway', 'Legionellosis', 'tumor necrosis factor receptor superfamily member 5']",['Corynebacteriaceae'],0.7548151,0.029046902,2,0.03,60,50,100,10,1.0
